date,open,high,low,close,volume,average,barCount
2020-06-24 10:23:00,24722.0,24746.0,24720.0,24740.0,298,24738.8,37
2020-06-24 10:24:00,24742.0,24746.0,24732.0,24738.0,147,24735.1,28
2020-06-24 10:25:00,24739.0,24739.0,24724.0,24731.0,126,24731.6,23
2020-06-24 10:26:00,24722.0,24744.0,24721.0,24744.0,63,24728.2,29
2020-06-24 10:27:00,24745.0,24755.0,24736.0,24754.0,90,24742.2,26
2020-06-24 10:28:00,24758.0,24768.0,24753.0,24759.0,68,24761.0,29
2020-06-24 10:29:00,24757.0,24762.0,24742.0,24742.0,42,24753.5,25
2020-06-24 10:30:00,24746.0,24746.0,24719.0,24741.0,85,24729.7,49
2020-06-24 10:31:00,24749.0,24770.0,24749.0,24760.0,227,24755.6,31
2020-06-24 10:32:00,24765.0,24776.0,24763.0,24772.0,73,24774.1,20
2020-06-24 10:33:00,24774.0,24774.0,24757.0,24767.0,434,24764.9,42
2020-06-24 10:34:00,24768.0,24768.0,24742.0,24745.0,34,24751.5,26
2020-06-24 10:35:00,24749.0,24749.0,24737.0,24746.0,32,24744.5,26
2020-06-24 10:36:00,24748.0,24752.0,24729.0,24729.0,49,24742.9,21
2020-06-24 10:37:00,24728.0,24730.0,24716.0,24730.0,41,24721.4,34
2020-06-24 10:38:00,24732.0,24738.0,24726.0,24738.0,62,24731.1,27
2020-06-24 10:39:00,24734.0,24758.0,24734.0,24753.0,54,24747.9,27
2020-06-24 10:40:00,24751.0,24756.0,24736.0,24739.0,398,24753.6,21
2020-06-24 10:41:00,24729.0,24734.0,24725.0,24731.0,24,24729.2,21
2020-06-24 10:42:00,24734.0,24734.0,24718.0,24721.0,48,24723.4,31
2020-06-24 10:43:00,24721.0,24734.0,24718.0,24728.0,29,24725.4,18
2020-06-24 10:44:00,24720.0,24740.0,24716.0,24739.0,146,24724.1,44
2020-06-24 10:45:00,24730.0,24730.0,24714.0,24720.0,39,24723.7,18
2020-06-24 10:46:00,24719.0,24720.0,24709.0,24717.0,40,24714.6,25
2020-06-24 10:47:00,24717.0,24726.0,24713.0,24714.0,39,24718.7,22
2020-06-24 10:48:00,24720.0,24734.0,24720.0,24734.0,35,24728.6,17
2020-06-24 10:49:00,24732.0,24743.0,24732.0,24743.0,36,24737.7,22
2020-06-24 10:50:00,24747.0,24755.0,24742.0,24745.0,64,24749.9,36
2020-06-24 10:51:00,24745.0,24748.0,24742.0,24746.0,112,24745.7,16
2020-06-24 10:52:00,24741.0,24746.0,24723.0,24729.0,345,24738.9,20
2020-06-24 10:53:00,24724.0,24744.0,24722.0,24726.0,36,24733.2,15
2020-06-24 10:54:00,24728.0,24731.0,24717.0,24720.0,119,24726.3,33
2020-06-24 10:55:00,24720.0,24725.0,24712.0,24712.0,79,24717.0,40
2020-06-24 10:56:00,24715.0,24722.0,24707.0,24707.0,28,24716.9,23
2020-06-24 10:57:00,24706.0,24721.0,24700.0,24719.0,49,24712.0,23
2020-06-24 10:58:00,24716.0,24716.0,24705.0,24707.0,75,24709.7,24
2020-06-24 10:59:00,24708.0,24716.0,24702.0,24705.0,17,24710.5,17
2020-06-24 11:00:00,24702.0,24714.0,24693.0,24713.0,47,24706.7,29
2020-06-24 11:01:00,24713.0,24732.0,24707.0,24722.0,31,24719.6,27
2020-06-24 11:02:00,24724.0,24737.0,24717.0,24721.0,59,24725.9,34
2020-06-24 11:03:00,24720.0,24726.0,24713.0,24726.0,47,24719.6,22
2020-06-24 11:04:00,24726.0,24731.0,24700.0,24710.0,78,24713.1,29
2020-06-24 11:05:00,24714.0,24726.0,24713.0,24721.0,19,24716.9,16
2020-06-24 11:06:00,24724.0,24737.0,24724.0,24733.0,40,24733.0,17
2020-06-24 11:07:00,24730.0,24750.0,24730.0,24749.0,125,24737.4,24
2020-06-24 11:08:00,24750.0,24756.0,24743.0,24748.0,40,24747.5,23
2020-06-24 11:09:00,24749.0,24749.0,24743.0,24744.0,38,24746.1,16
2020-06-24 11:10:00,24745.0,24756.0,24745.0,24750.0,171,24746.8,32
2020-06-24 11:11:00,24748.0,24760.0,24748.0,24756.0,44,24754.7,16
2020-06-24 11:12:00,24760.0,24763.0,24749.0,24750.0,33,24755.2,23
2020-06-24 11:13:00,24749.0,24752.0,24749.0,24750.0,12,24751.2,10
2020-06-24 11:14:00,24751.0,24760.0,24751.0,24758.0,19,24756.0,18
2020-06-24 11:15:00,24764.0,24769.0,24755.0,24755.0,50,24759.9,23
2020-06-24 11:16:00,24748.0,24760.0,24748.0,24750.0,28,24750.2,20
2020-06-24 11:17:00,24753.0,24760.0,24751.0,24753.0,54,24753.1,27
2020-06-24 11:18:00,24756.0,24779.0,24756.0,24773.0,58,24771.0,36
2020-06-24 11:19:00,24769.0,24773.0,24765.0,24765.0,39,24769.9,16
2020-06-24 11:20:00,24765.0,24768.0,24750.0,24759.0,57,24756.5,35
2020-06-24 11:21:00,24760.0,24769.0,24760.0,24764.0,38,24764.7,27
2020-06-24 11:22:00,24767.0,24772.0,24756.0,24759.0,42,24767.2,23
2020-06-24 11:23:00,24754.0,24775.0,24754.0,24769.0,33,24764.0,22
2020-06-24 11:24:00,24767.0,24769.0,24765.0,24766.0,35,24767.3,19
2020-06-24 11:25:00,24765.0,24765.0,24756.0,24760.0,71,24758.3,20
2020-06-24 11:26:00,24764.0,24764.0,24750.0,24761.0,114,24756.3,14
2020-06-24 11:27:00,24762.0,24765.0,24744.0,24745.0,51,24753.7,20
2020-06-24 11:28:00,24747.0,24748.0,24739.0,24742.0,71,24743.2,28
2020-06-24 11:29:00,24742.0,24744.0,24736.0,24742.0,22,24740.7,20
2020-06-24 11:30:00,24743.0,24743.0,24726.0,24729.0,81,24730.5,21
2020-06-24 11:31:00,24722.0,24748.0,24717.0,24729.0,63,24723.3,29
2020-06-24 11:32:00,24728.0,24728.0,24723.0,24728.0,80,24723.8,16
2020-06-24 11:33:00,24733.0,24737.0,24724.0,24724.0,219,24735.8,11
2020-06-24 11:34:00,24723.0,24733.0,24723.0,24730.0,84,24724.0,22
2020-06-24 11:35:00,24727.0,24730.0,24726.0,24726.0,21,24726.8,16
2020-06-24 11:36:00,24720.0,24730.0,24720.0,24730.0,99,24727.8,15
2020-06-24 11:37:00,24727.0,24731.0,24718.0,24719.0,31,24726.0,11
2020-06-24 11:38:00,24717.0,24724.0,24717.0,24724.0,106,24722.7,12
2020-06-24 11:39:00,24722.0,24726.0,24715.0,24726.0,125,24723.2,18
2020-06-24 11:40:00,24726.0,24730.0,24725.0,24728.0,29,24726.7,9
2020-06-24 11:41:00,24729.0,24733.0,24725.0,24733.0,135,24728.9,7
2020-06-24 11:42:00,24732.0,24735.0,24726.0,24733.0,27,24731.5,15
2020-06-24 11:43:00,24728.0,24734.0,24722.0,24733.0,37,24726.3,21
2020-06-24 11:44:00,24732.0,24737.0,24730.0,24734.0,218,24732.1,25
2020-06-24 11:45:00,24739.0,24749.0,24738.0,24746.0,39,24740.5,27
2020-06-24 11:46:00,24748.0,24753.0,24737.0,24738.0,61,24745.4,24
2020-06-24 11:47:00,24739.0,24750.0,24739.0,24745.0,32,24745.9,20
